Orden,Libro,Capítulo,Título del capítulo,Autor citado,Forma normalizada,Obra asociada,Pasaje / contexto,Función de la cita,Tipo de fuente,Observaciones,Validación 1617,Coincidencia OCR 1617,Cita literal 1617 (OCR),Línea OCR cita 1617,Rango OCR 1617,Notas validación 1617
115,III,XXIV,De la cuenta llamada Era,Dion,Dion Casio,Historia romana,"Dion, para el periodo posterior a la muerte de César.",Autoridad historiográfica de apoyo,Clásica griega/romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,dion,"gunos toman la cucta de los años dcl Im / perio de Oélauiano Auguílo , que le fu- / ccdio,y fue fu heredero : dado q los mas / le comienfan del año (¡guíente , quando",20096,líneas 20059-20564,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
116,III,XXIV,De la cuenta llamada Era,Paulo Orosio,Paulo Orosio,Historiae adversus paganos,"Paulo Orosio, sobre la duración de la guerra de Cantabria en tiempos de Cayo Norbano.",Autoridad narrativa bélica,Tardorromana cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,orosio,"mueftrade valentia,quedcíreo de exe- / cutar aquella crueldad.Orofio dize,que / Pompeio era partido antes que Lauro- / na fe entregaíTe, y que los moradores",18596,líneas 20059-20564,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
117,III,XXIV,De la cuenta llamada Era,Estrabón,Estrabón,Geographica,Estrabón → sobre fundación de ciudades y la aculturación tras apaciguar las guerras contra los locales en la P. Ibérica.,Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,estrabon,"naturales mudaron fus coftumbres anti- / guas,y fu lcngua,y la trocaron con las de / losRomanosjfcgun que Eftrabon lo cef- / ti£ca.",20547,líneas 20059-20564,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
118,III,XXV,De la guerra de Cantabria,Ptolomeo,Ptolomeo,Geographia,"Ptolomeo, para situar geográficamente los pueblos aledaños a los cántabros.",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,ptolomeo,"dad,y hizo muchos ygrandes beneficios / y honras a fus moradorcs.Fucra dcllo de / J'linio y de Ptolomeo fe entiende clara- / mente que en Efpaña ouo dos pueblos, / ambos llamados Ofcaicl vno en los Ilcr-",18330,líneas 20535-21103,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
119,III,XXV,De la guerra de Cantabria,Orosio,Paulo Orosio,Historiae adversus paganos,"Orosio, que los gallegos se hicieron fuertes en el monte Medulia (hoy Mendulia, Vizcaya), durante la guerra.",Autoridad narrativa bélica,Tardorromana cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,orosio,"Gallegos ,dexadafupropria tierra, hi- / zieronlaguerracontralos Romanos ert / la agena. Ademas, que Orofio dize,¿j el / monte Medulio , donde los Gallegos fe / hizieronfuertes,feleuátaua fobred ritf",20783,líneas 20535-21103,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
120,III,XXV,De la guerra de Cantabria,moro Rasis,Ahmad al-Razi / el moro Rasis,Crónica / tradición andalusí,"El moro Rasis ( Áhmad ibn Muhámmad ibn Mūsà al-Rāzī). S. IX-X, Córdoba. Sobre la ciudad de Mérida, cabeza de la Lusitania. Mariana hace una cosa curiosa, en principio Mérida debería ser una ciudad impresionante, debido a su importancia en el mundo romano. Sin embargo, cita a Rasis como autor que encarece la grandeza de dicha ciudad, e, incluso, afirma que fue destruida por los moros.",Autoridad geográfica/toponímica,Andalusí / medieval,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,rasis,"principales de Erpaña,y era cabcfa de la / Luíírania,por donde lallamauan Meri- / da la grande*Rafís Arabe encarece mu-",20826,líneas 20535-21103,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
121,III,XXV,De la guerra de Cantabria,Mela,Pomponio Mela,De chorographia / De situ orbis,"Mela, Plinio y Ptolomeo, sobre las Aras Sextianas y su ubicación. Creo que es un monumento para conmemorar el fin de la guerra contra los cántabros.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,Confirmado en 1617,mela,"pefadumbre que recebía por aquella tar / dá9a,y por fer los lugares afperos , y aql / ayre dcílemplado,enfermo déla melan- / colía fe boluio a Tarragona.Dexó el car / go <f la guerra a fus Capitanes.Cayo An",20701,líneas 20535-21103,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
122,III,XXV,De la guerra de Cantabria,Plinio,Plinio el Viejo,Naturalis Historia,"Mela, Plinio y Ptolomeo, sobre las Aras Sextianas y su ubicación. Creo que es un monumento para conmemorar el fin de la guerra contra los cántabros.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,Confirmado en 1617,plinio,"j daluzia no ertauan de todo puto ajufta- / ) Vano es el atreuimicnto lin fuerpas: afsi das como lo tertificaPlinio.Erto en Efpa / ' fue que primeramente L. Emilio, y Pu- da. En Roma Cornelío Balbo natural",21010,líneas 20535-21103,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
123,III,XXV,De la guerra de Cantabria,Ptolomeo,Ptolomeo,Geographia,"Mela, Plinio y Ptolomeo, sobre las Aras Sextianas y su ubicación. Creo que es un monumento para conmemorar el fin de la guerra contra los cántabros.",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,Localizado en el libro; capítulo no confirmado por OCR,ptolomeo,"dad,y hizo muchos ygrandes beneficios / y honras a fus moradorcs.Fucra dcllo de / J'linio y de Ptolomeo fe entiende clara- / mente que en Efpaña ouo dos pueblos, / ambos llamados Ofcaicl vno en los Ilcr-",18330,líneas 20535-21103,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
124,IV,I,De la venida del hijo de Dios al mundo,San Agustín,Agustín de Hipona,No determinada,"San Agustín, incertidumbre respecto a los cónsules en Hispania al tiempo de nacer Cristo.",Autoridad eclesiástica/cristiana,Patrística latina,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,agustin,"fueron Confules Diocleciano la oñaua / vez,y Maximianolafetena, fegun que / rif.j.C» lo refiere fan Aguftin.En aquellos edi~ / »r« Crcj'ñosfe mandaua echar por tierra los tem / ••lio. tú plosdelosChriftianos. Quemarlos li-",24435,líneas 21104-21771,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
125,IV,I,De la venida del hijo de Dios al mundo,Dion,Dion Casio,Historia romana,"Dion, sobre uno de los capitanes “españoles” que se dedica a saltar a la gente, tras la guerra con los romanos. Corocota se llama.",Autoridad narrativa bélica,Clásica griega/romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,dion,Cápitttlo I. U venida del hijo C / de Dios al mundo.,21108,líneas 21104-21771,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
126,IV,I,De la venida del hijo de Dios al mundo,Dion,Dion Casio,Historia romana,"Dion, Plinio y Tácito (Publio Cornelio Tácito), hablan del avistamiento del ave Fénix, durante el gobierno de Tiberio (año 14-37 d.C.), marcando la resurrección de Cristo.",Autoridad eclesiástica/cristiana,Clásica griega/romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,dion,Cápitttlo I. U venida del hijo C / de Dios al mundo.,21108,líneas 21104-21771,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
127,IV,I,De la venida del hijo de Dios al mundo,Plinio,Plinio el Viejo,Naturalis Historia,"Dion, Plinio y Tácito (Publio Cornelio Tácito), hablan del avistamiento del ave Fénix, durante el gobierno de Tiberio (año 14-37 d.C.), marcando la resurrección de Cristo.",Autoridad eclesiástica/cristiana,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,plinio,"I iiínidad. Algunos encendieron que la a / ' ue Phenix, la qual fue villa , como lo re- / ficrcDion,Tacito,yPlinio, antes del pof / trer año del Imperio de Tiberio, dio in- / dicio,y fuepronollico y mucftradelarc",21479,líneas 21104-21771,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
128,IV,I,De la venida del hijo de Dios al mundo,Tácito,Tácito,Annales,"Dion, Plinio y Tácito (Publio Cornelio Tácito), hablan del avistamiento del ave Fénix, durante el gobierno de Tiberio (año 14-37 d.C.), marcando la resurrección de Cristo.",Autoridad eclesiástica/cristiana,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,tacito,"I iiínidad. Algunos encendieron que la a / ' ue Phenix, la qual fue villa , como lo re- / ficrcDion,Tacito,yPlinio, antes del pof / trer año del Imperio de Tiberio, dio in- / dicio,y fuepronollico y mucftradelarc",21479,líneas 21104-21771,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
129,IV,II,De los Emperadores Caio (Calígula) y Claudio,San Lucas,Lucas evangelista,Hechos de los Apóstoles,"San Lucas, actos de los Apóstoles.",Autoridad eclesiástica/cristiana,Bíblica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,lucas,"conla vida. Al t.empoquc muño Ti- ta por ello. Con que cl Emperador hizo j / Lucas en los Avíos otro nucuo deforden , que fe cafó ron / i Uaua por fu mandado en prifion en Ro- mano Germánico , y de Agrinnini",21545,líneas 21104-21771,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
130,IV,II,De los Emperadores Caio (Calígula) y Claudio,Flavio Josefo,Flavio Josefo,Antigüedades judías,"Flavio Josefo, s. I-II. Antigüedades Judaicas.",Autoridad historiográfica de apoyo,Judeo-romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 21104-21771,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
131,IV,II,De los Emperadores Caio (Calígula) y Claudio,Seneca el Viejo,Séneca el Viejo,No determinada,Seneca el Viejo (creo).,Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,Confirmado en 1617,seneca,"ca de donde oy ella Granada. Eufrafio / Illiturgitano,Secundo Obifpo de Auila D y Pópea,fin perdonará Séneca ib maéf* / Indalecio Vrcitano. Vrci fe entiéde era tro,ni al Inclito Poeta Lucano, hijoqué / vn oueblo que oy fe llama Verga,cn los fue de Mclla,hermano deSeneca,ni a ó-",21736,líneas 21104-21771,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
132,IV,II,De los Emperadores Caio (Calígula) y Claudio,Quintiliano,Quintiliano,Institutio oratoria,Quintiliano y Eusebio.,Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,quintiliano,"trofi a Fauio Quintiliano, natural de Ca- / lahorra,q fue auentajado en la profcfsió / de la rhctorica.Susinftitucionesorato-",22078,líneas 21104-21771,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
133,IV,II,De los Emperadores Caio (Calígula) y Claudio,Eusebio,Eusebio de Cesarea,Chronicon / Historia ecclesiastica,Quintiliano y Eusebio.,Autoridad historiográfica de apoyo,Cristiana tardoantigua,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,eusebio,"tenia el cuerpo todo. Engaño que ha en / ^ parte diminuydo la deuocion , paracó ^ / y algunos l'antuarios. Eufebio refiere que / vio por cfte tiempo a las bcíliasfieras,ni / por hambrc,ni de otra manera,podcr ir-",25070,líneas 21104-21771,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
134,IV,II,De los Emperadores Caio (Calígula) y Claudio,Isidoro de Sevilla,Isidoro de Sevilla,Etymologiae / obras históricas,Isidoro de Sevilla.,Autoridad historiográfica de apoyo,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,isidoro,"dernos tienen cftc cuento por falfo, y ta / chan el teÜimonio de Marccllino pref- / by tcrojde quien fan Ifidoro en los varo / nes iluftres tomó lo que queda dicho. / Pero a mi mucha fuerza me hazclo que",25846,líneas 21104-21771,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
135,IV,II,De los Emperadores Caio (Calígula) y Claudio,Pelayo,Pelayo de Oviedo,No determinada,"Pelayo, obispo de Oviedo. S. XI-XII. Sobre los discípulos del apóstol Santiago.",Autoridad eclesiástica/cristiana,Medieval hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 21104-21771,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
136,IV,III,Del Emperador Domicio Nerón,Beda,Beda el Venerable,No determinada,"Beda el Venerable, s. VII-VIII. Northumbria (Inglaterra).",Autoridad cronológica,Medieval cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 21742-22231,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
137,IV,III,Del Emperador Domicio Nerón,Usuardo,Usuardo,Martyrologium,"Usuardo, s. IX. Posiblemente benedictino de la Abadía de Saint Germain des Prés, París. Ambos sobre el Apóstol san Pablo.",Autoridad eclesiástica/cristiana,Medieval cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,Confirmado en 1617,usuardo,"el Cirineo ( aquel que ayudó i licuar / la Cruz a Chrifto ) y hermano de Ale- , / xandro. Afsimifmo Bcda , y Vfuardo tef / tiíican que dexó por Obifpo de Narbo- / aa a Sergio Paulo , qual de Proconful",21837,líneas 21742-22231,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
138,IV,III,Del Emperador Domicio Nerón,Plutarco,Plutarco,Vidas paralelas,"Plutarco→ a la ciudad de Clunia la llama Colonia, dando lugar a una confusión.",Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,plutarcho,"a i'us internos : rccogiofe cali perdida Iz / cfpcranpa,a la ciudad dcClunía(eften& / bre cllá corrompido en Plutarcho , que / pone Colonia por Clunia , como fe en- / tiende por las monedas que fe hallan en",22005,líneas 21742-22231,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
139,IV,III,Del Emperador Domicio Nerón,Poggio,Poggio Bracciolini,No determinada,"Poggio Florentín → rescató las obras de Fabio Quintiliano y las publicó en tiempos del concilio de Constanza, s. XV.",Autoridad eclesiástica/cristiana,Humanista italiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,pogio,"riascftuuicron perdidas por mas dc fcyf / re tittto cientos años. Hallólas, y Tacólas a luz / eiutcr,pc Pogio Florentin, en tiempo del Conci- / lio de Conftancia, en cierto moncílerio / tifeoPe- de aquella ciudad . Las declaraciones",22083,líneas 21742-22231,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
140,IV,III,Del Emperador Domicio Nerón,Quintiliano,Quintiliano,Institutio oratoria,"Poggio Florentín → rescató las obras de Fabio Quintiliano y las publicó en tiempos del concilio de Constanza, s. XV.",Autoridad eclesiástica/cristiana,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,quintiliano,"trofi a Fauio Quintiliano, natural de Ca- / lahorra,q fue auentajado en la profcfsió / de la rhctorica.Susinftitucionesorato-",22078,líneas 21742-22231,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
141,IV,III,Del Emperador Domicio Nerón,Prieto Crinito,Pietro Crinito,No determinada,"Prieto Crinito, s. XV-XVI, Florencia. Y Gregorio Giraldo, s. XV-XVI, Ferrara. Ambos italianos, renacentistas. Sobre el lugar de nacimiento de Silio Itálico. Cónsul romano, algunos autores afirman que era Español, Giraldo lo contradice.",Fuente problemática o usada críticamente,Humanista italiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,crinito,"Italico,qucfucelaño de Chriílodefe- / ícntay riueue. Los mas Tienten quceftc / Conful fue EfpañolrCrinito dize que na / cío en Roma , pero que fu deccndencia / era de Efpaña: Gregorio Girald o afir-",22109,líneas 21742-22231,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
142,IV,III,Del Emperador Domicio Nerón,Gregorio Giraldo,Lilio Gregorio Giraldi,No determinada,"Prieto Crinito, s. XV-XVI, Florencia. Y Gregorio Giraldo, s. XV-XVI, Ferrara. Ambos italianos, renacentistas. Sobre el lugar de nacimiento de Silio Itálico. Cónsul romano, algunos autores afirman que era Español, Giraldo lo contradice.",Fuente problemática o usada críticamente,Humanista italiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 21742-22231,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
143,IV,III,Del Emperador Domicio Nerón,Silio Itálico,Silio Itálico,Punica,"Prieto Crinito, s. XV-XVI, Florencia. Y Gregorio Giraldo, s. XV-XVI, Ferrara. Ambos italianos, renacentistas. Sobre el lugar de nacimiento de Silio Itálico. Cónsul romano, algunos autores afirman que era Español, Giraldo lo contradice.",Fuente problemática o usada críticamente,Clásica romana / poesía épica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,silio,"difcipulos de Santiago, a los figiiientes, / Caloccro,Bjifilio,PiD,Gdí'ogono,Teo^",21793,líneas 21742-22231,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
144,IV,III,Del Emperador Domicio Nerón,Quintiliano,Quintiliano,Institutio oratoria,"Quintiliano, sobre la existencia de una Tragedia compuesta por Séneca el Filósofo.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,quintiliano,"trofi a Fauio Quintiliano, natural de Ca- / lahorra,q fue auentajado en la profcfsió / de la rhctorica.Susinftitucionesorato-",22078,líneas 21742-22231,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
145,IV,IV,"De los Emperadores Flavio Vespasiano, y sus hijos",historia Latina,Juan de Mariana,Historiae de rebus Hispaniae,"Hace referencia a su historia Latina. Historiae de rebus Hispaniae libri XX. La versión original en latín, donde incluye ciertas cuestiones que aquí no aparecen. Pero se cita a sí mismo.",Autoridad historiográfica de apoyo,Autor moderno / texto propio,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 22202-23432,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
146,IV,IV,"De los Emperadores Flavio Vespasiano, y sus hijos",Suetonio,Suetonio Tranquilo,De vita Caesarum,"Suetonio Tranquilo. Sobre el emperador Domiciano, que mandó desterrar de Roma a todos los filósofos (finales s.I). Mariana entiende que destierra a los filósofos crstianos.",Autoridad cronológica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 22202-23432,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
147,IV,IV,"De los Emperadores Flavio Vespasiano, y sus hijos",Miguel Sincelo,Miguel Sincelo,Vida de San Clemente,"Miguel Sincelo, Vida de San Clemente. Sobre San Eugenio. Debió pasar por España, con especial hincapié en Toledo.",Autoridad historiográfica de apoyo,Bizantina / manuscrita,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 22202-23432,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
148,IV,VI,De los tres Emperadores Antoninos,Julio Capitolino,Julio Capitolino,Historia Augusta,"Julio Capitolino, uno de los seis autores atribuidos a la colección de biografías imperiales. Junto con Dión, y una carta en griego que lo acredita. → Sobre un episodio de Marco Aurelio Antonino, relacionado con rayos, y una victoria ante los moravos.",Autoridad historiográfica de apoyo,Historia Augusta / autoría dudosa,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 22202-23432,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
149,IV,VI,De los tres Emperadores Antoninos,Julio Capitolino,Julio Capitolino,Historia Augusta,Julio Capitolino → sobre la familia del emperador Cómodo.,Autoridad cronológica,Historia Augusta / autoría dudosa,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 22202-23432,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
150,IV,IX,"De los Emperadores Maximino, Gordiano y Philippo",Nicéforo,Nicéforo,No determinada,"Nicéforo, Constantinopla, s. XVIII-IX. Sobre la persecución de los cristianos por el emperador Decio, en el año 250.",Autoridad eclesiástica/cristiana,Bizantina cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 23403-23897,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
151,IV,X,"De los Emperadores Valeriano, Gallieno, Claudio y Aureliano",Trebellio Polión,Trebellio Polión,Historia Augusta,"Trebellio Polión (Trebellius Pollio) hace referencia a otro de los seis autores a los que tradicionalmente se les atribuye la autoría de la colección biográfica conocida como la Historia Augusta. Al igual que Julio Capitolino, su existencia como historiador independiente en la época que supuestamente vivió es altamente cuestionada por la crítica moderna.",Autoridad historiográfica de apoyo,Historia Augusta / autoría dudosa,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,polion,"prodigo, codiciofo de los bienes de par / ticulares . Por efte tiépo el famofo en- / cantador Apolionio Tianco , entre o- / tras Prouincias,por donde difcurrio,vi- / no también a Elpaña. Lo mifmo hizo el",21825,líneas 23868-24382,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
152,IV,XII,De los Emperadores Diocleciano y Maximiano,San Agustín,Agustín de Hipona,No determinada,"San Agustín, sobre la guerra de Diocleciano en contra de los cristinaos. Año 10 de su gobierno.",Autoridad narrativa bélica,Patrística latina,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,agustin,"fueron Confules Diocleciano la oñaua / vez,y Maximianolafetena, fegun que / rif.j.C» lo refiere fan Aguftin.En aquellos edi~ / »r« Crcj'ñosfe mandaua echar por tierra los tem / ••lio. tú plosdelosChriftianos. Quemarlos li-",24435,líneas 24353-24694,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
153,IV,XII,De los Emperadores Diocleciano y Maximiano,Códices de Teodosio y Justiniano,Códices de Teodosio y Justiniano,Codex Theodosianus / Codex Justinianus,Códices de Teodosio y Justiniano. Sobre el martirio del centurión Marcello.,Autoridad historiográfica de apoyo,Jurídica tardoantigua,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,teodosio,"ciajy la Mauritania Tingitin i. Y legan / fe entiende por algunos letreros delle / tiepo,y algunas leyes dd Codigo. de luf / tinianpjlos gouernadores de la Hética,/ / de la Lufitania a ella fazon tcniannoan-",22871,líneas 24353-24694,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
154,IV,XII,De los Emperadores Diocleciano y Maximiano,Prudencio,Prudencio,Peristephanon,"Prudencio, s. IV-V. Calagurris (¿actual Calahorra?). Sobre la muerte de Santa Engracia en Zaragoza.",Autoridad eclesiástica/cristiana,Cristiana hispanorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,prudencio,"del mifmo nombre fue muerta en Mcri- / da.EnZarago^a dio la muerte a fanta En / gracia, Prudencio la llama Encraris.dtf-",24499,líneas 24353-24694,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
155,IV,XIII,En qué parte de España está Elbora,Braulio,Braulio de Zaragoza,Vida de Santa Leocadia,"Braulio, obispo de Zaragoza, escribió sobre la vida de Santa Leocadia.",Autoridad eclesiástica/cristiana,Medieval / eclesiástica hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,braulio,"finta Leocadia, como ellácn los libroi / Eccleliaílicos muy antiguos,cfcrita pof / Braulio Obifpo de Zaragof i,fcgun que / muchosloficntcn. Laqualno ponemos / aquí a la larga, por cuitar prolixidadiBaf",24787,líneas 24665-24890,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
156,IV,XIII,En qué parte de España está Elbora,Ptolomeo,Ptolomeo,Geographia,"Ptolomeo, sobre la ciudad de Ébora.",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,ptolomeo,"bros que eferiuio no dan mueftra de in- / genio groircro,ni de falta de cntcdimié / to. PorlomcnosPtolomeole da nom- / bre de Libora,y cerca dclla pone a llura",24694,líneas 24665-24890,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
